model_id,encoder,classifier,label,label_slug,test_positives,test_prevalence,roc_auc,pr_auc,roc_auc_ci_95_lower,roc_auc_ci_95_upper
bit50__logistic,bit50,logistic,Impetigo,impetigo,18,0.024,0.6715998785670917,0.050526542253317173,,
bit50__logistic,bit50,logistic,Acute Dermatitis NOS,acute_dermatitis_nos,19,0.025333333333333333,0.6641586867305062,0.0681184642792192,,
bit50__logistic,bit50,logistic,Hypersensitivity,hypersensitivity,17,0.02266666666666667,0.6415215472273494,0.03822441205871114,,
bit50__logistic,bit50,logistic,Acne,acne,15,0.02,0.8272108843537415,0.4070885401327517,,
bit50__logistic,bit50,logistic,Pigmented Purpuric Eruption,pigmented_purpuric_eruption,15,0.02,0.8153287981859412,0.10681627647643395,,
bit50__logistic,bit50,logistic,Leukocytoclastic Vasculitis,leukocytoclastic_vasculitis,15,0.02,0.5912925170068027,0.054708296280157886,,
bit50__logistic,bit50,logistic,Lichen Planus Lichenoid Eruption,lichen_planus_lichenoid_eruption,14,0.018666666666666668,0.7420419254658386,0.06961894723050409,,
bit50__logistic,bit50,logistic,Pityriasis Rosea,pityriasis_rosea,12,0.016,0.7477416440831075,0.05654958815195608,,
bit50__logistic,bit50,logistic,Viral Exanthem,viral_exanthem,13,0.017333333333333333,0.7287339526145497,0.04935137259259112,,
bit50__logistic,bit50,logistic,Lichen Simplex Chronicus,lichen_simplex_chronicus,11,0.014666666666666666,0.6021650879566983,0.0214958508589529,,
bit50__logistic,bit50,logistic,Stasis Dermatitis,stasis_dermatitis,11,0.014666666666666666,0.729733054496248,0.0662332426009384,,
bit50__logistic,bit50,logistic,Keratosis Pilaris,keratosis_pilaris,9,0.012,0.780476833108412,0.15543467855222992,,
bit50__logistic,bit50,logistic,CD - Contact Dermatitis,cd_contact_dermatitis,11,0.014666666666666666,0.5573871324886209,0.0173871783125114,,
bit50__logistic,bit50,logistic,Scabies,scabies,9,0.012,0.8134652871494976,0.04317085126386304,,
bit50__mil,bit50,mil,Eczema,eczema,157,0.20933333333333334,0.6250201394184811,0.2664882420862155,,
bit50__mil,bit50,mil,Allergic Contact Dermatitis,allergic_contact_dermatitis,130,0.17333333333333334,0.6079652605459057,0.24473870051526908,,
bit50__mil,bit50,mil,Insect Bite,insect_bite,60,0.08,0.6330193236714976,0.13892158683763525,,
bit50__mil,bit50,mil,Urticaria,urticaria,50,0.06666666666666667,0.7076571428571429,0.12172089468274518,,
bit50__mil,bit50,mil,Psoriasis,psoriasis,46,0.06133333333333333,0.5767045454545454,0.08509318659889262,,
bit50__mil,bit50,mil,Folliculitis,folliculitis,40,0.05333333333333334,0.7458450704225352,0.1499799284441891,,
bit50__mil,bit50,mil,Irritant Contact Dermatitis,irritant_contact_dermatitis,37,0.04933333333333333,0.6312497630870703,0.08530705893175233,,
bit50__mil,bit50,mil,Tinea,tinea,31,0.04133333333333333,0.6161335187760779,0.06977934231017326,,
bit50__mil,bit50,mil,Herpes Zoster,herpes_zoster,21,0.028,0.7763407146123195,0.15572373163567327,,
bit50__mil,bit50,mil,Drug Rash,drug_rash,22,0.029333333333333333,0.7457542457542458,0.08904404263749079,,
bit50__mil,bit50,mil,Herpes Simplex,herpes_simplex,20,0.02666666666666667,0.7647945205479452,0.13027548727896254,,
bit50__mil,bit50,mil,Impetigo,impetigo,18,0.024,0.7200971463266546,0.06984576493953536,,
bit50__mil,bit50,mil,Acute Dermatitis NOS,acute_dermatitis_nos,19,0.025333333333333333,0.6162790697674418,0.04372468797717713,,
bit50__mil,bit50,mil,Hypersensitivity,hypersensitivity,17,0.02266666666666667,0.7593291068132574,0.0520371084561871,,
bit50__mil,bit50,mil,Acne,acne,15,0.02,0.916734693877551,0.2935083363923413,,
bit50__mil,bit50,mil,Pigmented Purpuric Eruption,pigmented_purpuric_eruption,15,0.02,0.8682993197278912,0.14555872107249945,,
bit50__mil,bit50,mil,Leukocytoclastic Vasculitis,leukocytoclastic_vasculitis,15,0.02,0.7920181405895692,0.20403171820667518,,
bit50__mil,bit50,mil,Lichen Planus Lichenoid Eruption,lichen_planus_lichenoid_eruption,14,0.018666666666666668,0.7477678571428571,0.1356518633841311,,
bit50__mil,bit50,mil,Pityriasis Rosea,pityriasis_rosea,12,0.016,0.7453703703703703,0.04808914813460993,,
bit50__mil,bit50,mil,Viral Exanthem,viral_exanthem,13,0.017333333333333333,0.7656820791149149,0.07760822412841267,,
bit50__mil,bit50,mil,Lichen Simplex Chronicus,lichen_simplex_chronicus,11,0.014666666666666666,0.7045147004551605,0.10361792360330922,,
bit50__mil,bit50,mil,Stasis Dermatitis,stasis_dermatitis,11,0.014666666666666666,0.88485668593923,0.12818863084312684,,
bit50__mil,bit50,mil,Keratosis Pilaris,keratosis_pilaris,9,0.012,0.857399910031489,0.06808636723835192,,
bit50__mil,bit50,mil,CD - Contact Dermatitis,cd_contact_dermatitis,11,0.014666666666666666,0.5610776233239021,0.04393531290526016,,
bit50__mil,bit50,mil,Scabies,scabies,9,0.012,0.6756635177687809,0.027027873951411943,,
bit50__random_forest,bit50,random_forest,Eczema,eczema,157,0.20933333333333334,0.658730840699885,0.33443272407580726,,
bit50__random_forest,bit50,random_forest,Allergic Contact Dermatitis,allergic_contact_dermatitis,130,0.17333333333333334,0.6890942928039703,0.2969117259246461,,
bit50__random_forest,bit50,random_forest,Insect Bite,insect_bite,60,0.08,0.7592632850241546,0.255058442293252,,
bit50__random_forest,bit50,random_forest,Urticaria,urticaria,50,0.06666666666666667,0.7509857142857143,0.20793955642160172,,
bit50__random_forest,bit50,random_forest,Psoriasis,psoriasis,46,0.06133333333333333,0.6191174654150198,0.10861936664762238,,
bit50__random_forest,bit50,random_forest,Folliculitis,folliculitis,40,0.05333333333333334,0.7522359154929578,0.1875161985748472,,
bit50__random_forest,bit50,random_forest,Irritant Contact Dermatitis,irritant_contact_dermatitis,37,0.04933333333333333,0.7128615291308139,0.09077343163016315,,
bit50__random_forest,bit50,random_forest,Tinea,tinea,31,0.04133333333333333,0.6393512494952667,0.11049422878544361,,
bit50__random_forest,bit50,random_forest,Herpes Zoster,herpes_zoster,21,0.028,0.790678685740414,0.1745056006499459,,
bit50__random_forest,bit50,random_forest,Drug Rash,drug_rash,22,0.029333333333333333,0.7273039460539461,0.11162906472307245,,
bit50__random_forest,bit50,random_forest,Herpes Simplex,herpes_simplex,20,0.02666666666666667,0.771917808219178,0.13692880070136115,,
bit50__random_forest,bit50,random_forest,Impetigo,impetigo,18,0.024,0.7193761384335156,0.06834486810662414,,
bit50__random_forest,bit50,random_forest,Acute Dermatitis NOS,acute_dermatitis_nos,19,0.025333333333333333,0.6679386564907481,0.06284963226742869,,
bit50__random_forest,bit50,random_forest,Hypersensitivity,hypersensitivity,17,0.02266666666666667,0.7540727068453574,0.053335762309338466,,
bit50__random_forest,bit50,random_forest,Acne,acne,15,0.02,0.9205442176870748,0.4420542830916097,,
bit50__random_forest,bit50,random_forest,Pigmented Purpuric Eruption,pigmented_purpuric_eruption,15,0.02,0.8017233560090703,0.24019537155862428,,
bit50__random_forest,bit50,random_forest,Leukocytoclastic Vasculitis,leukocytoclastic_vasculitis,15,0.02,0.7484353741496599,0.11992673609308102,,
bit50__random_forest,bit50,random_forest,Lichen Planus Lichenoid Eruption,lichen_planus_lichenoid_eruption,14,0.018666666666666668,0.797651397515528,0.11172483046664587,,
bit50__random_forest,bit50,random_forest,Pityriasis Rosea,pityriasis_rosea,12,0.016,0.7875451671183379,0.09103296143684389,,
bit50__random_forest,bit50,random_forest,Viral Exanthem,viral_exanthem,13,0.017333333333333333,0.7196534808475107,0.06483542932820996,,
bit50__random_forest,bit50,random_forest,Lichen Simplex Chronicus,lichen_simplex_chronicus,11,0.014666666666666666,0.6489728133841801,0.06412063521949347,,
bit50__random_forest,bit50,random_forest,Stasis Dermatitis,stasis_dermatitis,11,0.014666666666666666,0.8381719768729242,0.15976106224987152,,
bit50__random_forest,bit50,random_forest,Keratosis Pilaris,keratosis_pilaris,9,0.012,0.7390163442795021,0.04026482385298186,,
bit50__random_forest,bit50,random_forest,CD - Contact Dermatitis,cd_contact_dermatitis,11,0.014666666666666666,0.6666256612129413,0.022523133246656214,,
bit50__random_forest,bit50,random_forest,Scabies,scabies,9,0.012,0.6250562303193881,0.018846019517038452,,
bit50__svm_linear,bit50,svm_linear,Eczema,eczema,157,0.20933333333333334,0.5882106529467996,0.24728654699578775,,
bit50__svm_linear,bit50,svm_linear,Allergic Contact Dermatitis,allergic_contact_dermatitis,130,0.17333333333333334,0.6358560794044664,0.2314175080405822,,
bit50__svm_linear,bit50,svm_linear,Insect Bite,insect_bite,60,0.08,0.688792270531401,0.1422936637239694,,
bit50__svm_linear,bit50,svm_linear,Urticaria,urticaria,50,0.06666666666666667,0.6960000000000001,0.1626939292361958,,
bit50__svm_linear,bit50,svm_linear,Psoriasis,psoriasis,46,0.06133333333333333,0.5721961462450593,0.10626130009551346,,
bit50__svm_linear,bit50,svm_linear,Folliculitis,folliculitis,40,0.05333333333333334,0.7248239436619719,0.17466943139881097,,
bit50__svm_linear,bit50,svm_linear,Irritant Contact Dermatitis,irritant_contact_dermatitis,37,0.04933333333333333,0.6075584701110648,0.09166153188037966,,
bit50__svm_linear,bit50,svm_linear,Tinea,tinea,31,0.04133333333333333,0.6106599667997666,0.09063246461751676,,
bit50__svm_linear,bit50,svm_linear,Herpes Zoster,herpes_zoster,21,0.028,0.8255274675027762,0.16177536976119114,,
bit50__svm_linear,bit50,svm_linear,Drug Rash,drug_rash,22,0.029333333333333333,0.679945054945055,0.08393100928634278,,
bit50__svm_linear,bit50,svm_linear,Herpes Simplex,herpes_simplex,20,0.02666666666666667,0.7319178082191781,0.1291767807252053,,
bit50__svm_linear,bit50,svm_linear,Impetigo,impetigo,18,0.024,0.6212052216150576,0.0555058295032755,,
bit50__svm_linear,bit50,svm_linear,Acute Dermatitis NOS,acute_dermatitis_nos,19,0.025333333333333333,0.667470660234718,0.0618050989518056,,
bit50__svm_linear,bit50,svm_linear,Hypersensitivity,hypersensitivity,17,0.02266666666666667,0.5408073188347645,0.02869096331041583,,
bit50__svm_linear,bit50,svm_linear,Acne,acne,15,0.02,0.8171428571428572,0.304910725848082,,
bit50__svm_linear,bit50,svm_linear,Pigmented Purpuric Eruption,pigmented_purpuric_eruption,15,0.02,0.8354648526077098,0.09055731877640567,,
bit50__svm_linear,bit50,svm_linear,Leukocytoclastic Vasculitis,leukocytoclastic_vasculitis,15,0.02,0.6303854875283447,0.05259370353814924,,
bit50__svm_linear,bit50,svm_linear,Lichen Planus Lichenoid Eruption,lichen_planus_lichenoid_eruption,14,0.018666666666666668,0.7393245341614907,0.04271291341572357,,
