model_id,encoder,classifier,target_positive_cases,k,metric,estimate,ci_95_lower,ci_95_upper
inception_v3__svm_linear,inception_v3,svm_linear,398,3,recall_at_k,0.4280150753768845,,
inception_v3__svm_linear,inception_v3,svm_linear,398,3,precision_at_k,0.2981574539363484,,
inception_v3__svm_linear,inception_v3,svm_linear,398,5,hit_rate,0.7412060301507538,,
inception_v3__svm_linear,inception_v3,svm_linear,398,5,recall_at_k,0.5554020100502512,,
inception_v3__svm_linear,inception_v3,svm_linear,398,5,precision_at_k,0.22914572864321608,,
resnet50__gradient_boosting,resnet50,gradient_boosting,398,1,hit_rate,0.35175879396984927,,
resnet50__gradient_boosting,resnet50,gradient_boosting,398,1,recall_at_k,0.1742462311557789,,
resnet50__gradient_boosting,resnet50,gradient_boosting,398,1,precision_at_k,0.35175879396984927,,
resnet50__gradient_boosting,resnet50,gradient_boosting,398,3,hit_rate,0.6532663316582915,,
resnet50__gradient_boosting,resnet50,gradient_boosting,398,3,recall_at_k,0.4230318257956449,,
resnet50__gradient_boosting,resnet50,gradient_boosting,398,3,precision_at_k,0.28643216080402006,,
resnet50__gradient_boosting,resnet50,gradient_boosting,398,5,hit_rate,0.7462311557788944,,
resnet50__gradient_boosting,resnet50,gradient_boosting,398,5,recall_at_k,0.5609296482412061,,
resnet50__gradient_boosting,resnet50,gradient_boosting,398,5,precision_at_k,0.23015075376884425,,
resnet50__knn,resnet50,knn,398,1,hit_rate,0.34673366834170855,,
resnet50__knn,resnet50,knn,398,1,recall_at_k,0.16344221105527637,,
resnet50__knn,resnet50,knn,398,1,precision_at_k,0.34673366834170855,,
resnet50__knn,resnet50,knn,398,3,hit_rate,0.5879396984924623,,
resnet50__knn,resnet50,knn,398,3,recall_at_k,0.35113065326633164,,
resnet50__knn,resnet50,knn,398,3,precision_at_k,0.24288107202680068,,
resnet50__knn,resnet50,knn,398,5,hit_rate,0.6934673366834171,,
resnet50__knn,resnet50,knn,398,5,recall_at_k,0.48023450586264654,,
resnet50__knn,resnet50,knn,398,5,precision_at_k,0.19999999999999998,,
resnet50__logistic,resnet50,logistic,398,1,hit_rate,0.2537688442211055,,
resnet50__logistic,resnet50,logistic,398,1,recall_at_k,0.1321608040201005,,
resnet50__logistic,resnet50,logistic,398,1,precision_at_k,0.2537688442211055,,
resnet50__logistic,resnet50,logistic,398,3,hit_rate,0.5376884422110553,,
resnet50__logistic,resnet50,logistic,398,3,recall_at_k,0.31859296482412064,,
resnet50__logistic,resnet50,logistic,398,3,precision_at_k,0.22026800670016747,,
resnet50__logistic,resnet50,logistic,398,5,hit_rate,0.6633165829145728,,
resnet50__logistic,resnet50,logistic,398,5,recall_at_k,0.4394891122278057,,
resnet50__logistic,resnet50,logistic,398,5,precision_at_k,0.17889447236180903,,
resnet50__mil,resnet50,mil,398,1,hit_rate,0.1658291457286432,,
resnet50__mil,resnet50,mil,398,1,recall_at_k,0.09179229480737018,,
resnet50__mil,resnet50,mil,398,1,precision_at_k,0.1658291457286432,,
resnet50__mil,resnet50,mil,398,3,hit_rate,0.35678391959798994,,
resnet50__mil,resnet50,mil,398,3,recall_at_k,0.22537688442211057,,
resnet50__mil,resnet50,mil,398,3,precision_at_k,0.13902847571189278,,
resnet50__mil,resnet50,mil,398,5,hit_rate,0.535175879396985,,
resnet50__mil,resnet50,mil,398,5,recall_at_k,0.36746231155778897,,
resnet50__mil,resnet50,mil,398,5,precision_at_k,0.1371859296482412,,
resnet50__random_forest,resnet50,random_forest,398,1,hit_rate,0.4221105527638191,,
resnet50__random_forest,resnet50,random_forest,398,1,recall_at_k,0.20824958123953097,,
resnet50__random_forest,resnet50,random_forest,398,1,precision_at_k,0.4221105527638191,,
resnet50__random_forest,resnet50,random_forest,398,3,hit_rate,0.6934673366834171,,
resnet50__random_forest,resnet50,random_forest,398,3,recall_at_k,0.4603433835845896,,
resnet50__random_forest,resnet50,random_forest,398,3,precision_at_k,0.31490787269681736,,
resnet50__random_forest,resnet50,random_forest,398,5,hit_rate,0.8090452261306532,,
resnet50__random_forest,resnet50,random_forest,398,5,recall_at_k,0.6262562814070352,,
resnet50__random_forest,resnet50,random_forest,398,5,precision_at_k,0.25326633165829143,,
resnet50__svm_linear,resnet50,svm_linear,398,1,hit_rate,0.4045226130653266,,
resnet50__svm_linear,resnet50,svm_linear,398,1,recall_at_k,0.19987437185929646,,
resnet50__svm_linear,resnet50,svm_linear,398,1,precision_at_k,0.4045226130653266,,
resnet50__svm_linear,resnet50,svm_linear,398,3,hit_rate,0.6658291457286433,,
resnet50__svm_linear,resnet50,svm_linear,398,3,recall_at_k,0.41566164154103846,,
resnet50__svm_linear,resnet50,svm_linear,398,3,precision_at_k,0.29396984924623115,,
resnet50__svm_linear,resnet50,svm_linear,398,5,hit_rate,0.7386934673366834,,
resnet50__svm_linear,resnet50,svm_linear,398,5,recall_at_k,0.5468174204355108,,
resnet50__svm_linear,resnet50,svm_linear,398,5,precision_at_k,0.22462311557788947,,
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,398,1,hit_rate,0.5100502512562815,,
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,398,1,recall_at_k,0.2744137353433836,,
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,398,1,precision_at_k,0.5100502512562815,,
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,398,3,hit_rate,0.7914572864321608,,
siglip2_so400m__gradient_boosting,siglip2_so400m,gradient_boosting,398,3,recall_at_k,0.5688860971524289,,
