job_id,machine,agent,command,git_commit,config_sha256,dataset_sha256,split_sha256,started_at,finished_at,status,artifact_revision,notes
train_classical-20260918T173105-27f83d84,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder derm_foundation --classifier gradient_boosting --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,b1e9dd1473964032036fd9a91b59d9dfc10d41cc783fda6fd6115917838e07df,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:01:05.549945+00:00,2026-09-18T12:01:44.049205+00:00,complete,c65696f15d8e88d39bad6a86aaab213f3df24bd6dcdc12e3e98cf14331064160,
train_classical-20260918T173145-977a9b68,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder derm_foundation --classifier knn --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,e99e0dfc8b3e877b4a4b2a6d00c391feb47e8059432cedc95426940bd4c0525e,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:01:45.490293+00:00,2026-09-18T12:01:50.119596+00:00,complete,c271c903f47df66fdd0081532359af9fad797ea6979d15ddf9da3e2037a0cb10,
train_classical-20260918T173151-8924c578,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder siglip2_so400m --classifier logistic --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,4b2b9b41265a306b1396ae9532372da419ff036ebaa6ae1c36b30770d916d379,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:01:51.486966+00:00,2026-09-18T12:01:53.502828+00:00,complete,0136feb18b01908392eb42e94564f9ba4b2210d661382641fe6b648885b5151e,
train_classical-20260918T173154-2c937fd1,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder siglip2_so400m --classifier svm_linear --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,68b1743b2fa534f37b57e1fe25cfeb9f4be38af6042c4beab8c75194fb5c4888,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:01:54.949349+00:00,2026-09-18T12:01:57.241147+00:00,complete,46649d80a17cc49a0558dd3bd14831aae7aacb9bd680876dded73b71a746ba23,
train_classical-20260918T173158-e2284aed,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder siglip2_so400m --classifier random_forest --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,c1584756189baf62f23ac3f7101d377440e4f9837457ca99e544c58b617899f4,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:01:58.618731+00:00,2026-09-18T12:02:09.547885+00:00,complete,90f7ae20bbc06e184e279061e8621c42ef772fb43e28cf34e2b487e4c677ad29,
train_classical-20260918T173210-72e79c4f,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder siglip2_so400m --classifier gradient_boosting --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,9dfd3a420410712d1a4475192f66eb499fb1e0b9edde4e97bbd97529534f20e6,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:02:10.928103+00:00,2026-09-18T12:02:25.258048+00:00,complete,896a144ee2855640e9ad7fa7b516c7823a31aa1cb2771c261cba878328a4f2bf,
train_classical-20260918T173227-c25fd5b8,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder siglip2_so400m --classifier knn --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,5a175c440b6c6d9995095eaf568ce1a847e4bbd6db2a115ac65eb540a589eef0,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:02:27.006202+00:00,2026-09-18T12:02:29.737122+00:00,complete,0630a3969374733d92c090dbd2788a1d135eff50106a9b2e369e1979986dfe7f,
train_classical-20260918T173316-2ce34e74,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder resnet50 --classifier logistic --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,1aeddcd2ba0452084e4f8dd9c667625391733c88ac0a1da4366c6333a3b17bd0,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:03:16.563993+00:00,2026-09-18T12:03:18.607975+00:00,complete,2984879376566bcb71574ad60eb66150b455c736129f7434ddd76ec800096f20,
train_classical-20260918T173319-daa62f9e,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder resnet50 --classifier svm_linear --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,86b6666a96229475e590f3e2d971ce32b45c922f3cfc7ded14c12f9fbead2a09,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:03:19.962438+00:00,2026-09-18T12:03:22.156772+00:00,complete,120ee3f77a0425819d0259c53ae53c1f8ed405ea332637d7abc3f3636a94dab2,
train_classical-20260918T173323-8ca4aad4,hawk-prime,hawk-prime-agent,scripts/20_train_classical.py --config configs/study_25class.yaml --encoder resnet50 --classifier random_forest --seed 42,3b9d04201fff53734e9703c0a301eeb09ba4f252,65ac5486be628388c4ee48c8b45afbb923285a628e9ad6b8816d7355c3ba1680,,247d6a71a26e4e89dfb09cb54d78fba8e3c4a604da5d4f23913223af3487a8f6,2026-09-18T12:03:23.616721+00:00,2026-09-18T12:03:34.401754+00:00,complete,9c4af083d680cf13fdbee4f132107086533df75b9d723421bce797a997ed55eb,
