encoder,seed,split,label,threshold,support_positive,support_negative,tp,fp,tn,fn,sensitivity,specificity,balanced_accuracy,precision,recall,f1,auc,pr_auc,brier,ece
siglip2_so400m,43,validation,Allergic Contact Dermatitis,0.5,1,2,0,1,1,1,0.0,0.5,0.25,0.0,0.0,0.0,0.5,0.5,0.2648247797830207,0.1834753354390462
siglip2_so400m,43,validation,Insect Bite,0.5,1,2,1,2,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,1.0,1.0,0.2617093450948064,0.2125910917917887
siglip2_so400m,43,validation,Urticaria,0.5,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.3372530565231588,0.5802211960156758
siglip2_so400m,43,validation,Psoriasis,0.5,1,2,0,1,1,1,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.2580764991183435,0.1764760613441467
siglip2_so400m,43,validation,Folliculitis,0.5,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.4042224818993697,0.6354615688323975
siglip2_so400m,43,validation,Irritant Contact Dermatitis,0.5,0,3,0,0,3,0,,1.0,1.0,0.0,0.0,0.0,,,0.2242745056217502,0.472998708486557
siglip2_so400m,43,validation,Tinea,0.5,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.3840270612578085,0.6196388602256775
siglip2_so400m,43,validation,Herpes Zoster,0.5,1,2,0,0,2,1,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.2482284112227026,0.1355386177698771
siglip2_so400m,43,validation,Drug Rash,0.5,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.3584360828333762,0.5985254645347595
siglip2_so400m,43,validation,Herpes Simplex,0.5,0,3,0,0,3,0,,1.0,1.0,0.0,0.0,0.0,,,0.2399545445044912,0.4898163974285126
siglip2_so400m,43,validation,Impetigo,0.5,1,2,0,0,2,1,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.2504217934449134,0.1102096239725748
siglip2_so400m,43,validation,Acute Dermatitis NOS,0.5,0,3,0,2,1,0,,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,,,0.2415375957701044,0.4911873539288838
siglip2_so400m,43,validation,Hypersensitivity,0.5,0,3,0,1,2,0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.2159150317822168,0.4629966020584106
siglip2_so400m,43,validation,Acne,0.5,1,2,1,2,0,0,1.0,0.0,0.5,0.3333333333333333,1.0,0.5,0.5,0.5,0.2644768623522313,0.2004712025324503
siglip2_so400m,43,validation,Pigmented Purpuric Eruption,0.5,0,3,0,3,0,0,,0.0,0.0,0.0,0.0,0.0,,,0.3306276917546865,0.5746660232543945
siglip2_so400m,43,validation,Leukocytoclastic Vasculitis,0.5,0,3,0,1,2,0,,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,,,0.2530236998956332,0.5027085940043131
siglip2_so400m,43,validation,Lichen Planus Lichenoid Eruption,0.5,1,2,0,0,2,1,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.2342264686330328,0.1309714714686076
